COD_UNICO_ENDERECO,COD_UF,COD_MUNICIPIO,COD_DISTRITO,COD_SUBDISTRITO,CEP,LATITUDE,LONGITUDE,DSC_ESTABELECIMENTO,CAPACIDADE,IDHub
197490674,33,3302254,330225405,33022540500,27580000,-22.494986,-44.576058,CENTRO ESPIRITA TUPAOCA,2632,1
46118290,33,3304557,330455705,33045570536,21042020,-22.867689,-43.23734,ASSEMBLEIA DE DEUS,17339,2
198881099,33,3304557,330455705,33045570521,22720011,-22.91819,-43.378451,IGREJA ASSEMBLEIA DE DEUS COPACABANA,18865,3
197314638,33,3301702,330170215,33017021500,25272320,-22.624014,-43.199023,TERREURO CANDOBLE,2203,4
218795039,33,3304557,330455705,33045570534,20972070,-22.886137,-43.259263,TERREIRO CASA DE CABOCLO,13265,5
98423609,33,3304557,330455705,33045570525,21910260,-22.797409,-43.184013,IGREJA CRISTA RESGATANDO VIDAS,1183,6
43232661,33,3303500,330350005,33035000512,26276350,-22.746462,-43.502247,CHRIST APOSTOLIC CHURCH MOUNT JOY,5381,7
42592185,33,3303500,330350005,33035000518,26086465,-22.719428,-43.530025,MANTO DA PAZ,1259,8
224075291,33,3303500,330350005,33035000512,26053513,-22.749278,-43.498989,ASSEMBLEIA DE DEUS DA VITORIA,2197,9
198489330,33,3304557,330455705,33045570522,21820310,-22.89585,-43.477832,TEMPLO BATISTA DO PARQUE FELICIDADE,1387,10
224654064,33,3302270,330227005,33022700502,26465100,-22.675067,-43.590061,ALIANCA ETERNA,2709,11
40360355,33,3300456,330045605,33004560505,26165433,-22.725736,-43.383722,AD ALIANCA CELESTIAL,4119,12
45064944,33,3304557,330455705,33045570524,23545100,-22.961179,-43.703488,CONGREGACAO BATISTA NOVA FILADELFIA,16975,13
43029149,33,3303906,330390610,33039061000,25715330,-22.458051,-43.16912,QUADRANCULAR,6256,14
42440946,33,3302270,330227005,33022700502,26470170,-22.687943,-43.583687,CENTRO CANDOBLE,3571,15
96076962,33,3304557,330455705,33045570522,21840447,-22.874987,-43.467134,IGREJA INTERNACIONAL DA GRACA DE DEUS,2864,16
40289061,33,3300456,330045605,33004560503,26173030,-22.729949,-43.357364,IGREJA PENTECOSTAL TRIBO DE JUDA,1533,17
203460995,33,3303906,330390620,33039062000,25750100,-22.330957,-43.135515,IGREJA EVANGELICA,4541,18
199497901,33,3304755,330475510,33047551000,28230000,-21.304772,-41.03512,IGREJA ASSEMBLEI,10000000,19
105708274,33,3302908,330290805,33029080500,26900000,-22.458413,-43.473974,ASSEMBLEIA DE DEUS,10000000,20
