COD_UNICO_ENDERECO,COD_UF,COD_MUNICIPIO,COD_DISTRITO,COD_SUBDISTRITO,CEP,LATITUDE,LONGITUDE,DSC_ESTABELECIMENTO,CAPACIDADE,IDProd
113137440,33,3305703,330570310,33057031000,28637000,-22.212037,-42.671855,,286,1
98902286,33,3305802,330580210,33058021000,25995290,-22.245518,-42.745295,HORTALICAS,11893,2
43363517,33,3303807,330380710,33038071000,23970000,-23.265609,-44.706645,CACHACARIA AGUARDENTE,2219,3
42536053,33,3303005,330300505,33030050500,28460000,-21.433835,-42.150861,,4362,4
110869253,33,3305406,330540610,33054061000,25882000,-22.063731,-43.007856,,2702,5
202062167,33,3301009,330100930,33010093000,28020888,-21.865462,-41.709013,CURRAL,4972,6
99053817,33,3304706,330470625,33047062500,28470000,-21.608799,-42.190645,CRIACAO DE GADO,11119,7
110870054,33,3305752,330575205,33057520500,24890000,-22.797894,-42.761284,,11796,8
110861858,33,3301702,330170220,33017022000,25245810,-22.583719,-43.350021,,3018,9
99133689,33,3305901,330590110,33059011000,28757000,-22.149523,-42.200606,PLANTACOES EM GERAL,7230,10
217545498,33,3305802,330580215,33058021500,25985010,-22.157008,-42.779855,PLANTACAO DE REPOLHO,5992,11
204664695,33,3304706,330470605,33047060500,28470000,-21.535042,-42.205773,ESTABULO MIGUEL JAZBIK,12173,12
99133699,33,3305901,330590110,33059011000,28757000,-22.132968,-42.186847,PLANTACOES EM GERAL,3928,13
98865654,33,3303906,330390623,33039062300,25770220,-22.298511,-43.047341,SITIO MARITACAS,2350,14
98980793,33,3305133,330513305,33051330500,28455000,-21.383744,-41.959639,CRIACAO DE GADO,6741,15
202561660,33,3302056,330205605,33020560500,28250000,-21.408607,-41.7456,CURRAL,1262,16
98699651,33,3304805,330480520,33048052000,28400000,-21.623677,-41.744506,SITIO,11748,17
110861630,33,3301603,330160305,33016030500,28655000,-22.084339,-42.595258,,7186,18
113220144,33,3304755,330475515,33047551500,28230000,-21.438693,-41.195725,,12873,19
112938883,33,3305802,330580210,33058021000,25995490,-22.218658,-42.767708,,8189,20
113057352,33,3301009,330100950,33010095000,28020887,-22.027222,-41.183619,SEM INDENTIFICACAO,5913,21
199342800,33,3305406,330540625,33054062500,25884000,-22.106233,-42.818207,CRIACAO DE GADO,4725,22
197196387,33,3301009,330100985,33010098500,28165000,-21.46721,-41.378554,AGROPECUARIO,12210,23
205200438,33,3306107,330610705,33061070500,27600000,-22.299678,-43.781607,FAZENDA SANTANA,11736,24
46966897,33,3305752,330575205,33057520500,24890000,-22.749488,-42.77144,AVES E PORCOS,6390,25
108913902,33,3304003,330400305,33040030500,27175000,-22.65105,-43.914996,PROJETO PISCICULTURA PIRAI,6631,26
98727013,33,3300407,330040715,33004071500,27330030,-22.510119,-44.310369,CURRAL,740,27
110870061,33,3305752,330575205,33057520500,24890000,-22.791747,-42.763718,,4584,28
41160186,33,3300605,330060505,33006050500,28360000,-21.202373,-41.703959,,1669,29
112892001,33,3303401,330340125,33034012500,28610000,-22.306786,-42.285844,,13363,30
